phone,message
+7700000001,"Парковка №1806, Алатауский, платная, мест: 200. https://2gis.kz/almaty/firm/9430468308963242"
+7700000002,"Парковка №9008, Алатауский, платная, мест: 50. https://2gis.kz/almaty/firm/9430468308963264"
+7700000003,"Платная парковка, Алмалинский, платная, мест: 6. https://2gis.kz/almaty/firm/70030077053194322"
+7700000004,"Парковка №2002, Алмалинский, бесплатная, мест: 18. https://2gis.kz/almaty/firm/70030076154569439"
+7700000005,"Парковка №2002, Алмалинский, бесплатная, мест: 10. https://2gis.kz/almaty/firm/70030076390312214"
+7700000006,"Парковка №2002, Алмалинский, бесплатная, мест: 10. https://2gis.kz/almaty/firm/70030076979081341"
+7700000007,"Парковка №2004, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/9430468311097797"
+7700000008,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468281762237"
+7700000009,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468311097784"
+7700000010,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468311097903"
+7700000011,"Парковка №2004, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468311097999"
+7700000012,"Парковка №2004, Алмалинский, платная, мест: 5. https://2gis.kz/almaty/firm/9430468311123692"
+7700000013,"Парковка №2004, Алмалинский, платная, мест: 35. https://2gis.kz/almaty/firm/70030076170924784"
+7700000014,"Парковка №2004, Алмалинский, платная, мест: 30. https://2gis.kz/almaty/firm/70030076189254757"
+7700000015,"Парковка №2004, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/70030076306415929"
+7700000016,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076845522303"
+7700000017,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076895403932"
+7700000018,"Парковка №2004, Алмалинский, платная, мест: 7. https://2gis.kz/almaty/firm/70030076895403995"
+7700000019,"Парковка №2004, Алмалинский, платная, мест: 25. https://2gis.kz/almaty/firm/70030076895404081"
+7700000020,"Парковка №2004, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030076895404083"
+7700000021,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076895404087"
+7700000022,"Парковка №2004, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076895404092"
+7700000023,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076979112659"
+7700000024,"Парковка №2004, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076979113932"
+7700000025,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468311097981"
+7700000026,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/9430468311098015"
+7700000027,"Парковка №2004, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468311112227"
+7700000028,"Парковка №2004, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076170927430"
+7700000029,"Парковка №2004, Алмалинский, платная, мест: 12. https://2gis.kz/almaty/firm/70030076895404077"
+7700000030,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076315461957"
+7700000031,"Парковка №2004, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076895404029"
+7700000032,"Парковка №2005, Алмалинский, платная, мест: 10. https://2gis.kz/almaty/firm/70030076197615873"
+7700000033,"Парковка №2005, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076286241950"
+7700000034,"Парковка №2005, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/9430468311095571"
+7700000035,"Парковка №2005, Алмалинский, платная, мест: 20. https://2gis.kz/almaty/firm/9430468311097914"
+7700000036,"Парковка №2005, Алмалинский, платная, мест: 8. https://2gis.kz/almaty/firm/9430468311112467"
+7700000037,"Парковка №2005, Алмалинский, платная, мест: 15. https://2gis.kz/almaty/firm/70030076155373946"
